Name,Status,Assignee,Sprint,Day,Branch,Description
Init Next.js + TS + Tailwind + shadcn + Prisma + tRPC,Done,Samy,S1,J1,feat/init-project,"pnpm create next-app avec TS strict, no src/, App Router, Turbopack. shadcn init avec Radix. Prisma 7 + adapter pg. tRPC v11 + TanStack Query v5 + superjson."
Repo GitHub + branches main/dev + .env.example + README,Done,Samy,S1,J1,setup-repo-and-workflow,"Repo MrSamy91/rdv_plateform reset. V1 archive sur legacy/v1-python-flask avec git filter-repo. Branches main/dev/setup-repo-and-workflow/legacy/v1-python-flask."
Schema Prisma complet,Done,Samy,S1,J2,setup-repo-and-workflow,"8 modeles metier (User, Organization, Member, Service, TimeSlot, Booking, Review, Reward) + 3 BetterAuth (Session, Account, Verification) + 3 enums. Salon devient Organization, Coiffeur devient Member."
Config Neon PostgreSQL + migration + seed,In Progress,Samy,S1,J2,-,"Docker local pret. Neon pas encore configure (compte + DATABASE_URL prod a faire). seed.ts placeholder."
BetterAuth + Google OAuth + middleware,In Progress,Samy,S1,J3,setup-repo-and-workflow,"Module lib/auth/ complet. Email+password OK. Google OAuth dans config (besoin GOOGLE_CLIENT_ID/SECRET). Middleware Next.js PAS ENCORE."
tRPC setup + routers de base,In Progress,Samy,S1,J4,setup-repo-and-workflow,"tRPC complet. Router organization seul fait. Manquent : service, booking, member, review, reward."
Deploiement Vercel initial + env vars + domaine,Todo,Samy,S1,J5,feat/deploy,"Connecter le repo a Vercel, ajouter les env vars, eventuellement domaine custom."
Layout global (navbar + sidebar + footer),Todo,Samy,S1,J6,feat/layout,"components/layout/navbar.tsx, sidebar.tsx, footer.tsx."
OFF lundi (Samy travaille),OFF,Samy,S1,J7,-,Review PR Adil le soir si besoin.
Onboarding Adil,Done,Adil,S1,J1,setup-repo-and-workflow,"docs/onboarding.md cree (25 min lecture pedagogique : stack, raison de chaque techno, workflow git, conventions kebab-case)."
Pages auth UI : login + register,Todo,Adil,S1,J2,feat/auth-pages,"Formulaires React Hook Form + Zod + shadcn Form."
Pages auth UI : forgot/verify/reset password,Todo,Adil,S1,J3,feat/auth-pages,Suite des pages auth.
Landing page publique,In Progress,Adil,S1,J4,feat/landing-page,"Prototype CutBook en place dans app/page.tsx. Plus de boilerplate Next.js; contenu/CTA demo a finaliser."
Dashboard client : layout + accueil,Todo,Adil,S1,J5,feat/client-dashboard,Layout protege + page d'accueil + navigation.
Dashboard membre : layout + accueil,Todo,Adil,S1,J6,feat/coiffeur-dashboard,Layout protege + page d'accueil + navigation.
Integration auth UI + BetterAuth,Todo,Adil,S1,J7,feat/auth-integration,Connecter les forms auth au backend BetterAuth.
Husky 5 hooks stricts,Done,Samy,S1,Transverse,setup-repo-and-workflow,"pre-commit (no-main/dev + secretlint + lint-staged + vitest related), commit-msg (max 5 mots + commitlint), prepare-commit-msg (auto-prefix #ticket), pre-push (branch naming + typecheck + lint + test + build), post-merge (auto pnpm install)."
